T,k1,k3,k5,k7,k10,k15,k20,k25,k50
0.01,80.64,80.4476,80.5948,80.64,80.64,80.64,80.64,80.64,80.64
0.02,80.6537,80.2709,80.6243,80.5359,80.4476,80.5948,80.5359,80.5948,80.3887
0.05,80.6537,80.4476,80.5065,80.2120,80.1826,79.5347,79.4464,79.1225,78.3863
0.07,80.65,80.42,80.30,79.86,79.56,79.30,78.98,78.27,77.36
0.1,80.6537,80.4770,80.1237,79.2108,79.1519,78.6219,77.4146,76.7373,74.7939
0.2,80.6537,79.9470,79.2992,77.6502,76.5312,75.7951,74.2933,73.9105,68.6396
0.5,80.6537,79.2108,77.4735,76.1779,75.0883,73.8516,71.9081,69.9941,61.8080
1.0,80.6537,79.0931,77.2968,75.9423,74.8822,72.9093,70.5241,68.4040,59.2167
uniform,80.65,78.83,78.24,75.59,75.06,72.08,69.41,65.78,57.30
