T,k1,k3,k5,k7,k10,k15,k20,k25,k50
0.01,73.1939,73.9544,73.5741,74.1445,74.5247,75.0951,75.2852,75.2852,75.4753
0.02,73.1939,73.5741,74.1445,75.2852,75.8555,75.6654,76.0456,76.4259,76.0456
0.05,73.1939,74.5247,74.5247,76.2357,75.8555,76.0456,76.0456,76.2357,73.3840
0.07,73.19,74.52,74.14,76.05,75.29,75.48,75.10,75.10,72.24
0.1,73.1939,74.3346,74.1445,75.8555,74.9049,74.7148,74.3346,74.1445,70.7224
0.2,73.1939,74.5247,73.9544,75.4753,74.3346,73.9544,72.6236,73.0038,68.4411
0.5,73.1939,74.5247,73.7643,75.0951,73.7643,73.3840,72.2433,70.9125,65.2091
1.0,73.1939,74.5247,73.7643,75.0951,73.7643,73.0038,71.6730,70.7224,64.8289
uniform,73.19,74.71,73.95,74.90,73.95,72.05,71.29,69.96,64.45
